,game_id,week,season,posteam,defteam,pass_success,pass_count
90,2021_03_SEA_MIN,3,2021.0,MIN,SEA,26.0,39
91,2021_03_SEA_MIN,3,2021.0,SEA,MIN,18.0,34
92,2021_03_TB_LA,3,2021.0,LA,TB,19.0,39
93,2021_03_TB_LA,3,2021.0,TB,LA,31.0,58
94,2021_03_WAS_BUF,3,2021.0,BUF,WAS,25.0,45
95,2021_03_WAS_BUF,3,2021.0,WAS,BUF,9.0,25
96,2021_04_ARI_LA,4,2021.0,ARI,LA,22.0,35
97,2021_04_ARI_LA,4,2021.0,LA,ARI,23.0,41
98,2021_04_BAL_DEN,4,2021.0,BAL,DEN,21.0,40
99,2021_04_BAL_DEN,4,2021.0,DEN,BAL,13.0,42
100,2021_04_CAR_DAL,4,2021.0,CAR,DAL,20.0,44
101,2021_04_CAR_DAL,4,2021.0,DAL,CAR,13.0,24
102,2021_04_CLE_MIN,4,2021.0,CLE,MIN,14.0,37
103,2021_04_CLE_MIN,4,2021.0,MIN,CLE,12.0,40
104,2021_04_DET_CHI,4,2021.0,CHI,DET,8.0,18
105,2021_04_DET_CHI,4,2021.0,DET,CHI,23.0,42
106,2021_04_HOU_BUF,4,2021.0,BUF,HOU,20.0,32
107,2021_04_HOU_BUF,4,2021.0,HOU,BUF,6.0,24
108,2021_04_IND_MIA,4,2021.0,IND,MIA,14.0,34
109,2021_04_IND_MIA,4,2021.0,MIA,IND,14.0,33
110,2021_04_JAX_CIN,4,2021.0,CIN,JAX,19.0,33
111,2021_04_JAX_CIN,4,2021.0,JAX,CIN,15.0,25
112,2021_04_KC_PHI,4,2021.0,KC,PHI,22.0,31
113,2021_04_KC_PHI,4,2021.0,PHI,KC,26.0,51
114,2021_04_LV_LAC,4,2021.0,LAC,LV,16.0,41
115,2021_04_LV_LAC,4,2021.0,LV,LAC,14.0,38
116,2021_04_NYG_NO,4,2021.0,NO,NYG,15.0,26
117,2021_04_NYG_NO,4,2021.0,NYG,NO,20.0,40
118,2021_04_PIT_GB,4,2021.0,GB,PIT,17.0,39
119,2021_04_PIT_GB,4,2021.0,PIT,GB,15.0,42
120,2021_04_SEA_SF,4,2021.0,SEA,SF,8.0,26
121,2021_04_SEA_SF,4,2021.0,SF,SEA,21.0,43
122,2021_04_TB_NE,4,2021.0,NE,TB,24.0,46
123,2021_04_TB_NE,4,2021.0,TB,NE,18.0,44
124,2021_04_TEN_NYJ,4,2021.0,NYJ,TEN,16.0,35
125,2021_04_TEN_NYJ,4,2021.0,TEN,NYJ,25.0,57
126,2021_04_WAS_ATL,4,2021.0,ATL,WAS,21.0,43
127,2021_04_WAS_ATL,4,2021.0,WAS,ATL,18.0,35
128,2021_05_BUF_KC,5,2021.0,BUF,KC,12.0,26
129,2021_05_BUF_KC,5,2021.0,KC,BUF,28.0,56
130,2021_05_CHI_LV,5,2021.0,CHI,LV,11.0,22
131,2021_05_CHI_LV,5,2021.0,LV,CHI,13.0,39
132,2021_05_CLE_LAC,5,2021.0,CLE,LAC,15.0,33
133,2021_05_CLE_LAC,5,2021.0,LAC,CLE,20.0,46
134,2021_05_DEN_PIT,5,2021.0,DEN,PIT,22.0,41
135,2021_05_DEN_PIT,5,2021.0,PIT,DEN,14.0,26
136,2021_05_DET_MIN,5,2021.0,DET,MIN,15.0,40
137,2021_05_DET_MIN,5,2021.0,MIN,DET,17.0,35
138,2021_05_GB_CIN,5,2021.0,CIN,GB,20.0,42
139,2021_05_GB_CIN,5,2021.0,GB,CIN,20.0,40
140,2021_05_IND_BAL,5,2021.0,BAL,IND,35.0,47
141,2021_05_IND_BAL,5,2021.0,IND,BAL,19.0,38
142,2021_05_LA_SEA,5,2021.0,LA,SEA,21.0,38
143,2021_05_LA_SEA,5,2021.0,SEA,LA,16.0,35
144,2021_05_MIA_TB,5,2021.0,MIA,TB,19.0,42
145,2021_05_MIA_TB,5,2021.0,TB,MIA,31.0,45
146,2021_05_NE_HOU,5,2021.0,HOU,NE,17.0,32
147,2021_05_NE_HOU,5,2021.0,NE,HOU,17.0,30
148,2021_05_NO_WAS,5,2021.0,NO,WAS,13.0,32
149,2021_05_NO_WAS,5,2021.0,WAS,NO,17.0,44
