,game_id,week,season,posteam,defteam,pass_epa,pass_count
509,2021_03_CAR_HOU,3,2021.0,CAR,HOU,11.996256922977523,37
517,2021_03_CAR_HOU,3,2021.0,HOU,CAR,-7.230187164082684,31
524,2021_03_CHI_CLE,3,2021.0,CHI,CLE,-21.83927254819569,29
531,2021_03_CHI_CLE,3,2021.0,CLE,CHI,-1.997994831612923,35
540,2021_03_CIN_PIT,3,2021.0,CIN,PIT,8.303528122910267,18
548,2021_03_CIN_PIT,3,2021.0,PIT,CIN,-8.943385756787512,62
555,2021_03_GB_SF,3,2021.0,GB,SF,7.226966804875917,32
562,2021_03_GB_SF,3,2021.0,SF,GB,0.6683211067575021,44
569,2021_03_IND_TEN,3,2021.0,IND,TEN,-8.559545816927763,39
576,2021_03_IND_TEN,3,2021.0,TEN,IND,-2.78738757569226,28
584,2021_03_LAC_KC,3,2021.0,KC,LAC,3.952258794670276,46
591,2021_03_LAC_KC,3,2021.0,LAC,KC,16.220195302307456,40
599,2021_03_MIA_LV,3,2021.0,LV,MIA,6.625039513732057,46
607,2021_03_MIA_LV,3,2021.0,MIA,LV,-2.716691154768718,51
615,2021_03_NO_NE,3,2021.0,NE,NO,-16.88236440998653,53
622,2021_03_NO_NE,3,2021.0,NO,NE,5.266919137182413,24
630,2021_03_NYJ_DEN,3,2021.0,DEN,NYJ,11.934019934421237,27
636,2021_03_NYJ_DEN,3,2021.0,NYJ,DEN,-24.105391451797914,40
642,2021_03_PHI_DAL,3,2021.0,DAL,PHI,11.571619776455918,30
649,2021_03_PHI_DAL,3,2021.0,PHI,DAL,-6.228373768622988,41
656,2021_03_SEA_MIN,3,2021.0,MIN,SEA,19.21688119043894,39
663,2021_03_SEA_MIN,3,2021.0,SEA,MIN,0.7109582570280224,34
670,2021_03_TB_LA,3,2021.0,LA,TB,17.668762146550243,39
678,2021_03_TB_LA,3,2021.0,TB,LA,13.163302539915692,58
685,2021_03_WAS_BUF,3,2021.0,BUF,WAS,17.075947222957637,45
692,2021_03_WAS_BUF,3,2021.0,WAS,BUF,-0.5630077598616481,25
699,2021_04_ARI_LA,4,2021.0,ARI,LA,13.925697000786997,35
707,2021_04_ARI_LA,4,2021.0,LA,ARI,2.385245099936607,41
715,2021_04_BAL_DEN,4,2021.0,BAL,DEN,10.418508413621403,40
721,2021_04_BAL_DEN,4,2021.0,DEN,BAL,-16.4271856136329,42
728,2021_04_CAR_DAL,4,2021.0,CAR,DAL,-1.5771389917372263,44
735,2021_04_CAR_DAL,4,2021.0,DAL,CAR,6.621061382902786,24
742,2021_04_CLE_MIN,4,2021.0,CLE,MIN,-6.062940793573553,37
748,2021_04_CLE_MIN,4,2021.0,MIN,CLE,-9.819370267214254,40
756,2021_04_DET_CHI,4,2021.0,CHI,DET,3.215261419767688,18
763,2021_04_DET_CHI,4,2021.0,DET,CHI,4.7839747601537965,42
770,2021_04_HOU_BUF,4,2021.0,BUF,HOU,2.466696937063778,32
776,2021_04_HOU_BUF,4,2021.0,HOU,BUF,-28.33434589486569,24
783,2021_04_IND_MIA,4,2021.0,IND,MIA,9.914629933273304,34
791,2021_04_IND_MIA,4,2021.0,MIA,IND,-0.5592807053368256,33
798,2021_04_JAX_CIN,4,2021.0,CIN,JAX,17.589502797128443,33
804,2021_04_JAX_CIN,4,2021.0,JAX,CIN,6.4064483839902095,25
810,2021_04_KC_PHI,4,2021.0,KC,PHI,22.732895673107123,31
817,2021_04_KC_PHI,4,2021.0,PHI,KC,13.820485405213548,51
822,2021_04_LV_LAC,4,2021.0,LAC,LV,2.2882145877811126,41
830,2021_04_LV_LAC,4,2021.0,LV,LAC,-7.575010212823975,38
837,2021_04_NYG_NO,4,2021.0,NO,NYG,8.648864084525908,26
844,2021_04_NYG_NO,4,2021.0,NYG,NO,16.378666386281818,40
851,2021_04_PIT_GB,4,2021.0,GB,PIT,3.5787052104864556,39
859,2021_04_PIT_GB,4,2021.0,PIT,GB,-10.51652013623206,42
865,2021_04_SEA_SF,4,2021.0,SEA,SF,-4.56667301687412,26
873,2021_04_SEA_SF,4,2021.0,SF,SEA,6.64066340731719,43
880,2021_04_TB_NE,4,2021.0,NE,TB,-1.0174346107523353,46
888,2021_04_TB_NE,4,2021.0,TB,NE,2.2452076453571177,44
896,2021_04_TEN_NYJ,4,2021.0,NYJ,TEN,9.09125620253352,35
904,2021_04_TEN_NYJ,4,2021.0,TEN,NYJ,0.25810479662265634,57
911,2021_04_WAS_ATL,4,2021.0,ATL,WAS,12.4066345705757,43
919,2021_04_WAS_ATL,4,2021.0,WAS,ATL,18.078005639045152,35
927,2021_05_BUF_KC,5,2021.0,BUF,KC,14.434711516484072,26
935,2021_05_BUF_KC,5,2021.0,KC,BUF,-9.87495678226908,56
942,2021_05_CHI_LV,5,2021.0,CHI,LV,6.350179235101678,22
949,2021_05_CHI_LV,5,2021.0,LV,CHI,-9.29569615281544,39
956,2021_05_CLE_LAC,5,2021.0,CLE,LAC,11.081672610813797,33
963,2021_05_CLE_LAC,5,2021.0,LAC,CLE,12.650727181331721,46
971,2021_05_DEN_PIT,5,2021.0,DEN,PIT,7.272282224032191,41
978,2021_05_DEN_PIT,5,2021.0,PIT,DEN,9.348527316800363,26
985,2021_05_DET_MIN,5,2021.0,DET,MIN,-14.08202783846655,40
992,2021_05_DET_MIN,5,2021.0,MIN,DET,5.110678807325781,35
1000,2021_05_GB_CIN,5,2021.0,CIN,GB,2.400176004666835,42
1007,2021_05_GB_CIN,5,2021.0,GB,CIN,8.687377569328248,40
1014,2021_05_IND_BAL,5,2021.0,BAL,IND,32.47428803373772,47
1021,2021_05_IND_BAL,5,2021.0,IND,BAL,16.519276712550596,38
1028,2021_05_LA_SEA,5,2021.0,LA,SEA,14.05562873519375,38
1036,2021_05_LA_SEA,5,2021.0,SEA,LA,2.206520497172141,35
1043,2021_05_MIA_TB,5,2021.0,MIA,TB,-1.07115089981325,42
1050,2021_05_MIA_TB,5,2021.0,TB,MIA,32.27308803596121,45
1059,2021_05_NE_HOU,5,2021.0,HOU,NE,17.818804838580483,32
1066,2021_05_NE_HOU,5,2021.0,NE,HOU,8.957857867401325,30
1073,2021_05_NO_WAS,5,2021.0,NO,WAS,7.178353586350568,32
1080,2021_05_NO_WAS,5,2021.0,WAS,NO,-13.30926720322816,44
