,game_id,week,season,posteam,defteam,weekday,gametime,away_score,home_score,location,roof,surface,went_for_it,fourth_count,pass_epa,pass_count_x,run_epa,run_count_x,xpass,pass_oe,pass_count_y,run_success,run_count_y,pass_success,pass_count
23,2021_02_NE_NYJ,2,2021,NYJ,NE,Sunday,13:00,25.0,6.0,Home,outdoors,fieldturf,3,7,-23.70224450281283,37,2.2292017891681466,30,47.3007457703352,-8.300745770335197,67,13.0,30,13.0,37
24,2021_02_SF_PHI,2,2021,PHI,SF,Sunday,13:00,17.0,11.0,Home,outdoors,grass,1,7,-2.12246047011826,26,1.355556353813831,29,32.48147590458393,-1.4814759045839312,55,16.0,29,10.0,26
25,2021_02_LV_PIT,2,2021,PIT,LV,Sunday,13:00,26.0,17.0,Home,outdoors,grass,1,6,2.70703791455795,42,-2.6156778237200338,14,40.056818068027496,1.943181931972504,56,3.0,14,15.0,42
26,2021_02_MIN_ARI,2,2021,ARI,MIN,Sunday,16:05,33.0,34.0,Home,closed,grass,1,6,4.577820325585417,39,2.411077257682336,21,36.56881724298,5.431182757019997,60,12.0,21,19.0,39
27,2021_02_ATL_TB,2,2021,TB,ATL,Sunday,16:05,25.0,48.0,Home,outdoors,grass,2,7,1.854364208033076,39,1.792540594469756,18,31.067512072622776,8.932487927377224,57,9.0,18,19.0,39
28,2021_02_DAL_LAC,2,2021,LAC,DAL,Sunday,16:25,20.0,17.0,Home,outdoors,grass,1,6,3.622237258148108,43,2.320771157319657,20,41.24492135643959,3.7550786435604095,63,10.0,20,21.0,43
29,2021_02_TEN_SEA,2,2021,SEA,TEN,Sunday,16:25,33.0,30.0,Home,outdoors,grass,0,9,8.279979560883039,34,-0.2410844670375808,18,34.80544471740723,1.1945552825927734,52,8.0,18,13.0,34
30,2021_02_KC_BAL,2,2021,BAL,KC,Sunday,20:20,35.0,36.0,Home,outdoors,grass,1,4,-1.1584210339438312,28,13.172484696027825,40,38.78638054430485,-11.786380544304848,68,26.0,40,16.0,28
31,2021_02_DET_GB,2,2021,GB,DET,Monday,20:15,17.0,35.0,Home,outdoors,grass,0,3,17.5704846290173,30,-0.6501644683594348,27,28.809251688420773,4.1907483115792274,57,12.0,27,18.0,30
32,2021_03_CAR_HOU,3,2021,HOU,CAR,Thursday,20:20,24.0,9.0,Home,closed,grass,1,9,-7.230187164082684,31,-6.7462557921535335,17,34.10431782901287,-3.104317829012871,48,4.0,17,13.0,31
33,2021_03_WAS_BUF,3,2021,BUF,WAS,Sunday,13:00,21.0,43.0,Home,outdoors,astroturf,1,5,17.075947222957637,45,0.5623755030974285,30,41.20247581601143,5.797524183988571,75,12.0,30,25.0,45
34,2021_03_CHI_CLE,3,2021,CLE,CHI,Sunday,13:00,6.0,26.0,Home,outdoors,grass,3,9,-1.997994831612923,35,5.192270463301839,40,44.49171720445156,-5.491717204451561,75,17.0,40,17.0,35
35,2021_03_BAL_DET,3,2021,DET,BAL,Sunday,13:00,19.0,17.0,Home,closed,fieldturf,0,11,2.2269128155312496,33,-4.732046692255816,27,36.87910708785057,-2.8791070878505707,60,8.0,27,15.0,33
36,2021_03_ARI_JAX,3,2021,JAX,ARI,Sunday,13:00,31.0,19.0,Home,outdoors,grass,1,7,-12.982267817133106,36,2.7580398194259037,29,45.50120013952255,-7.501200139522552,65,16.0,29,19.0,36
37,2021_03_LAC_KC,3,2021,KC,LAC,Sunday,13:00,30.0,24.0,Home,outdoors,astroturf,0,2,3.952258794670276,46,1.3146724323742092,30,49.316408812999725,0.683591187000275,76,17.0,30,24.0,46
38,2021_03_NO_NE,3,2021,NE,NO,Sunday,13:00,28.0,13.0,Home,outdoors,grass,3,13,-16.88236440998653,53,-1.8068669378408235,17,53.29655259847641,2.70344740152359,70,6.0,17,20.0,53
39,2021_03_ATL_NYG,3,2021,NYG,ATL,Sunday,13:00,17.0,14.0,Home,outdoors,fieldturf,0,7,4.761663660699487,37,-2.049465795558497,27,38.108961597085,3.891038402915002,64,12.0,27,18.0,37
40,2021_03_CIN_PIT,3,2021,PIT,CIN,Sunday,13:00,24.0,10.0,Home,outdoors,grass,2,8,-8.943385756787512,62,-3.917822380142752,15,59.78617596626282,3.2138240337371826,77,2.0,15,24.0,62
41,2021_03_IND_TEN,3,2021,TEN,IND,Sunday,13:00,16.0,25.0,Home,outdoors,grass,1,4,-2.78738757569226,28,3.604993809931446,36,37.27458300441504,-7.274583004415035,64,14.0,36,14.0,28
42,2021_03_NYJ_DEN,3,2021,DEN,NYJ,Sunday,16:05,0.0,26.0,Home,outdoors,grass,0,7,11.934019934421237,27,-12.811219503581144,36,32.97000486776233,-3.970004867762327,63,13.0,36,16.0,27
43,2021_03_MIA_LV,3,2021,LV,MIA,Sunday,16:05,28.0,31.0,Home,closed,fieldturf,1,7,6.625039513732057,46,-5.42093994456809,33,46.45112631469965,-0.45112631469965,79,14.0,33,22.0,46
44,2021_03_TB_LA,3,2021,LA,TB,Sunday,16:25,24.0,34.0,Home,outdoors,grass,0,5,17.668762146550243,39,-3.893042025738396,22,34.672938853502274,4.327061146497726,61,7.0,22,19.0,39
