,game_id,week,season,posteam,defteam,run_success,run_count
90,2021_03_SEA_MIN,3,2021.0,MIN,SEA,9.0,34
91,2021_03_SEA_MIN,3,2021.0,SEA,MIN,9.0,18
92,2021_03_TB_LA,3,2021.0,LA,TB,7.0,22
93,2021_03_TB_LA,3,2021.0,TB,LA,6.0,13
94,2021_03_WAS_BUF,3,2021.0,BUF,WAS,12.0,30
95,2021_03_WAS_BUF,3,2021.0,WAS,BUF,8.0,25
96,2021_04_ARI_LA,4,2021.0,ARI,LA,19.0,38
97,2021_04_ARI_LA,4,2021.0,LA,ARI,14.0,22
98,2021_04_BAL_DEN,4,2021.0,BAL,DEN,13.0,30
99,2021_04_BAL_DEN,4,2021.0,DEN,BAL,8.0,17
100,2021_04_CAR_DAL,4,2021.0,CAR,DAL,13.0,24
101,2021_04_CAR_DAL,4,2021.0,DAL,CAR,18.0,32
102,2021_04_CLE_MIN,4,2021.0,CLE,MIN,15.0,38
103,2021_04_CLE_MIN,4,2021.0,MIN,CLE,7.0,22
104,2021_04_DET_CHI,4,2021.0,CHI,DET,17.0,37
105,2021_04_DET_CHI,4,2021.0,DET,CHI,9.0,25
106,2021_04_HOU_BUF,4,2021.0,BUF,HOU,22.0,38
107,2021_04_HOU_BUF,4,2021.0,HOU,BUF,3.0,18
108,2021_04_IND_MIA,4,2021.0,IND,MIA,13.0,30
109,2021_04_IND_MIA,4,2021.0,MIA,IND,4.0,16
110,2021_04_JAX_CIN,4,2021.0,CIN,JAX,11.0,22
111,2021_04_JAX_CIN,4,2021.0,JAX,CIN,15.0,30
112,2021_04_KC_PHI,4,2021.0,KC,PHI,18.0,31
113,2021_04_KC_PHI,4,2021.0,PHI,KC,10.0,19
114,2021_04_LV_LAC,4,2021.0,LAC,LV,17.0,32
115,2021_04_LV_LAC,4,2021.0,LV,LAC,6.0,18
116,2021_04_NYG_NO,4,2021.0,NO,NYG,20.0,39
117,2021_04_NYG_NO,4,2021.0,NYG,NO,7.0,21
118,2021_04_PIT_GB,4,2021.0,GB,PIT,17.0,31
119,2021_04_PIT_GB,4,2021.0,PIT,GB,7.0,16
120,2021_04_SEA_SF,4,2021.0,SEA,SF,11.0,26
121,2021_04_SEA_SF,4,2021.0,SF,SEA,15.0,30
122,2021_04_TB_NE,4,2021.0,NE,TB,1.0,7
123,2021_04_TB_NE,4,2021.0,TB,NE,13.0,27
124,2021_04_TEN_NYJ,4,2021.0,NYJ,TEN,10.0,24
125,2021_04_TEN_NYJ,4,2021.0,TEN,NYJ,18.0,37
126,2021_04_WAS_ATL,4,2021.0,ATL,WAS,10.0,28
127,2021_04_WAS_ATL,4,2021.0,WAS,ATL,14.0,28
128,2021_05_BUF_KC,5,2021.0,BUF,KC,13.0,25
129,2021_05_BUF_KC,5,2021.0,KC,BUF,12.0,23
130,2021_05_CHI_LV,5,2021.0,CHI,LV,16.0,37
131,2021_05_CHI_LV,5,2021.0,LV,CHI,10.0,22
132,2021_05_CLE_LAC,5,2021.0,CLE,LAC,19.0,35
133,2021_05_CLE_LAC,5,2021.0,LAC,CLE,11.0,23
134,2021_05_DEN_PIT,5,2021.0,DEN,PIT,7.0,18
135,2021_05_DEN_PIT,5,2021.0,PIT,DEN,14.0,34
136,2021_05_DET_MIN,5,2021.0,DET,MIN,8.0,24
137,2021_05_DET_MIN,5,2021.0,MIN,DET,7.0,28
138,2021_05_GB_CIN,5,2021.0,CIN,GB,12.0,24
139,2021_05_GB_CIN,5,2021.0,GB,CIN,8.0,22
140,2021_05_IND_BAL,5,2021.0,BAL,IND,10.0,26
141,2021_05_IND_BAL,5,2021.0,IND,BAL,12.0,26
142,2021_05_LA_SEA,5,2021.0,LA,SEA,13.0,28
143,2021_05_LA_SEA,5,2021.0,SEA,LA,9.0,25
144,2021_05_MIA_TB,5,2021.0,MIA,TB,4.0,9
145,2021_05_MIA_TB,5,2021.0,TB,MIA,10.0,22
146,2021_05_NE_HOU,5,2021.0,HOU,NE,5.0,24
147,2021_05_NE_HOU,5,2021.0,NE,HOU,12.0,30
148,2021_05_NO_WAS,5,2021.0,NO,WAS,6.0,18
149,2021_05_NO_WAS,5,2021.0,WAS,NO,18.0,33
