,game_id,week,season,posteam,defteam,went_for_it,fourth_count
96,2021_04_ARI_LA,4,2021.0,ARI,LA,0,5
97,2021_04_ARI_LA,4,2021.0,LA,ARI,1,5
98,2021_04_BAL_DEN,4,2021.0,BAL,DEN,0,11
99,2021_04_BAL_DEN,4,2021.0,DEN,BAL,0,11
100,2021_04_CAR_DAL,4,2021.0,CAR,DAL,3,7
101,2021_04_CAR_DAL,4,2021.0,DAL,CAR,1,7
102,2021_04_CLE_MIN,4,2021.0,CLE,MIN,1,12
103,2021_04_CLE_MIN,4,2021.0,MIN,CLE,3,10
104,2021_04_DET_CHI,4,2021.0,CHI,DET,1,6
105,2021_04_DET_CHI,4,2021.0,DET,CHI,3,6
106,2021_04_HOU_BUF,4,2021.0,BUF,HOU,2,7
107,2021_04_HOU_BUF,4,2021.0,HOU,BUF,2,7
108,2021_04_IND_MIA,4,2021.0,IND,MIA,1,8
109,2021_04_IND_MIA,4,2021.0,MIA,IND,2,9
110,2021_04_JAX_CIN,4,2021.0,CIN,JAX,0,4
111,2021_04_JAX_CIN,4,2021.0,JAX,CIN,2,7
112,2021_04_KC_PHI,4,2021.0,PHI,KC,2,7
113,2021_04_LV_LAC,4,2021.0,LAC,LV,3,9
114,2021_04_LV_LAC,4,2021.0,LV,LAC,3,9
115,2021_04_NYG_NO,4,2021.0,NO,NYG,1,5
116,2021_04_NYG_NO,4,2021.0,NYG,NO,0,7
117,2021_04_PIT_GB,4,2021.0,GB,PIT,1,8
118,2021_04_PIT_GB,4,2021.0,PIT,GB,2,7
119,2021_04_SEA_SF,4,2021.0,SEA,SF,0,9
120,2021_04_SEA_SF,4,2021.0,SF,SEA,4,12
121,2021_04_TB_NE,4,2021.0,NE,TB,0,8
122,2021_04_TB_NE,4,2021.0,TB,NE,0,9
123,2021_04_TEN_NYJ,4,2021.0,NYJ,TEN,0,8
124,2021_04_TEN_NYJ,4,2021.0,TEN,NYJ,3,14
125,2021_04_WAS_ATL,4,2021.0,ATL,WAS,0,6
126,2021_04_WAS_ATL,4,2021.0,WAS,ATL,2,5
127,2021_05_BUF_KC,5,2021.0,BUF,KC,0,6
128,2021_05_BUF_KC,5,2021.0,KC,BUF,1,6
129,2021_05_CHI_LV,5,2021.0,CHI,LV,0,7
130,2021_05_CHI_LV,5,2021.0,LV,CHI,3,8
131,2021_05_CLE_LAC,5,2021.0,CLE,LAC,3,9
132,2021_05_CLE_LAC,5,2021.0,LAC,CLE,3,7
133,2021_05_DEN_PIT,5,2021.0,DEN,PIT,4,10
134,2021_05_DEN_PIT,5,2021.0,PIT,DEN,0,5
135,2021_05_DET_MIN,5,2021.0,DET,MIN,1,9
136,2021_05_DET_MIN,5,2021.0,MIN,DET,0,7
137,2021_05_GB_CIN,5,2021.0,CIN,GB,2,11
138,2021_05_GB_CIN,5,2021.0,GB,CIN,0,7
139,2021_05_IND_BAL,5,2021.0,BAL,IND,0,5
140,2021_05_IND_BAL,5,2021.0,IND,BAL,1,5
141,2021_05_LA_SEA,5,2021.0,LA,SEA,1,8
142,2021_05_LA_SEA,5,2021.0,SEA,LA,1,6
143,2021_05_MIA_TB,5,2021.0,MIA,TB,0,6
144,2021_05_MIA_TB,5,2021.0,TB,MIA,0,2
145,2021_05_NE_HOU,5,2021.0,HOU,NE,3,8
146,2021_05_NE_HOU,5,2021.0,NE,HOU,0,5
147,2021_05_NO_WAS,5,2021.0,NO,WAS,1,7
148,2021_05_NO_WAS,5,2021.0,WAS,NO,3,10
