,game_id,week,season,posteam,defteam,xpass,pass_oe,pass_count
58,2021_02_NYG_WAS,2,2021.0,NYG,WAS,36.430072501301765,1.5699274986982343,63
59,2021_02_NYG_WAS,2,2021.0,WAS,NYG,43.89541183412075,5.10458816587925,68
60,2021_02_SF_PHI,2,2021.0,PHI,SF,32.48147590458393,-1.4814759045839312,55
61,2021_02_SF_PHI,2,2021.0,SF,PHI,36.75186966359615,-3.7518696635961533,65
62,2021_02_TEN_SEA,2,2021.0,SEA,TEN,34.80544471740723,1.1945552825927734,52
63,2021_02_TEN_SEA,2,2021.0,TEN,SEA,52.99036645889282,-7.990366458892822,82
64,2021_03_ARI_JAX,3,2021.0,ARI,JAX,32.28566838800907,4.714331611990929,64
65,2021_03_ARI_JAX,3,2021.0,JAX,ARI,45.50120013952255,-7.5012001395225525,65
66,2021_03_ATL_NYG,3,2021.0,ATL,NYG,39.213614493608475,-0.21361449360847473,59
67,2021_03_ATL_NYG,3,2021.0,NYG,ATL,38.108961597085,3.8910384029150014,64
68,2021_03_BAL_DET,3,2021.0,BAL,DET,35.9936383664608,3.0063616335392,56
69,2021_03_BAL_DET,3,2021.0,DET,BAL,36.87910708785057,-2.8791070878505707,60
70,2021_03_CAR_HOU,3,2021.0,CAR,HOU,35.114746291190386,2.885253708809614,67
71,2021_03_CAR_HOU,3,2021.0,HOU,CAR,34.10431782901287,-3.104317829012871,48
72,2021_03_CHI_CLE,3,2021.0,CHI,CLE,28.104520231485367,1.8954797685146332,42
73,2021_03_CHI_CLE,3,2021.0,CLE,CHI,44.49171720445156,-5.491717204451561,75
74,2021_03_CIN_PIT,3,2021.0,CIN,PIT,23.088806573301554,-4.088806573301554,39
75,2021_03_CIN_PIT,3,2021.0,PIT,CIN,59.78617596626282,3.2138240337371826,77
76,2021_03_GB_SF,3,2021.0,GB,SF,31.7847990244627,0.2152009755373002,57
77,2021_03_GB_SF,3,2021.0,SF,GB,43.645281970500946,0.3547180294990537,65
78,2021_03_IND_TEN,3,2021.0,IND,TEN,38.364221066236496,0.635778933763504,57
79,2021_03_IND_TEN,3,2021.0,TEN,IND,37.274583004415035,-7.274583004415035,64
80,2021_03_LAC_KC,3,2021.0,KC,LAC,49.316408812999725,0.683591187000275,76
81,2021_03_LAC_KC,3,2021.0,LAC,KC,35.33499510586262,5.6650048941373825,61
82,2021_03_MIA_LV,3,2021.0,LV,MIA,46.45112631469965,-0.45112631469965,79
83,2021_03_MIA_LV,3,2021.0,MIA,LV,57.027682572603226,-1.0276825726032257,78
84,2021_03_NO_NE,3,2021.0,NE,NO,53.29655259847641,2.70344740152359,70
85,2021_03_NO_NE,3,2021.0,NO,NE,30.62471916526556,-3.62471916526556,60
86,2021_03_NYJ_DEN,3,2021.0,DEN,NYJ,32.97000486776233,-3.970004867762327,63
87,2021_03_NYJ_DEN,3,2021.0,NYJ,DEN,36.64264100790024,3.357358992099762,53
88,2021_03_PHI_DAL,3,2021.0,DAL,PHI,35.39794974774122,-3.3979497477412224,68
89,2021_03_PHI_DAL,3,2021.0,PHI,DAL,36.804628789424896,11.195371210575104,53
90,2021_03_SEA_MIN,3,2021.0,MIN,SEA,40.03396459668875,-1.0339645966887476,73
91,2021_03_SEA_MIN,3,2021.0,SEA,MIN,32.9856531471014,4.014346852898598,52
92,2021_03_TB_LA,3,2021.0,LA,TB,34.672938853502274,4.327061146497726,61
93,2021_03_TB_LA,3,2021.0,TB,LA,50.7778786867857,9.222121313214302,71
94,2021_03_WAS_BUF,3,2021.0,BUF,WAS,41.20247581601143,5.797524183988571,75
95,2021_03_WAS_BUF,3,2021.0,WAS,BUF,35.01906016469002,-4.019060164690018,50
96,2021_04_ARI_LA,4,2021.0,ARI,LA,41.426035046577454,-2.4260350465774536,73
97,2021_04_ARI_LA,4,2021.0,LA,ARI,41.77470742166042,1.225292578339577,63
98,2021_04_BAL_DEN,4,2021.0,BAL,DEN,36.929720824584365,4.070279175415634,70
99,2021_04_BAL_DEN,4,2021.0,DEN,BAL,42.313340574502945,0.6866594254970555,59
100,2021_04_CAR_DAL,4,2021.0,CAR,DAL,44.59517750889063,1.4048224911093714,68
101,2021_04_CAR_DAL,4,2021.0,DAL,CAR,26.884232491254807,-3.8842324912548065,56
102,2021_04_CLE_MIN,4,2021.0,CLE,MIN,44.252176500856876,-7.252176500856876,75
103,2021_04_CLE_MIN,4,2021.0,MIN,CLE,46.32624331116676,-5.326243311166763,62
104,2021_04_DET_CHI,4,2021.0,CHI,DET,26.884799361228943,-7.884799361228943,55
105,2021_04_DET_CHI,4,2021.0,DET,CHI,45.31131395697594,-2.311313956975937,67
106,2021_04_HOU_BUF,4,2021.0,BUF,HOU,38.280822321772575,-4.280822321772575,70
107,2021_04_HOU_BUF,4,2021.0,HOU,BUF,28.492840871214867,-3.4928408712148666,42
108,2021_04_IND_MIA,4,2021.0,IND,MIA,35.71703540161252,-1.7170354016125202,64
109,2021_04_IND_MIA,4,2021.0,MIA,IND,32.50423966348171,2.4957603365182877,49
110,2021_04_JAX_CIN,4,2021.0,CIN,JAX,33.32884392514825,-0.3288439251482485,55
111,2021_04_JAX_CIN,4,2021.0,JAX,CIN,29.900642171502113,-2.9006421715021133,55
112,2021_04_KC_PHI,4,2021.0,KC,PHI,29.867282439023256,5.132717560976744,62
113,2021_04_KC_PHI,4,2021.0,PHI,KC,47.947089955210686,7.052910044789314,70
114,2021_04_LV_LAC,4,2021.0,LAC,LV,42.01234908029437,-0.012349080294370367,73
115,2021_04_LV_LAC,4,2021.0,LV,LAC,39.62681403756142,0.3731859624385834,56
116,2021_04_NYG_NO,4,2021.0,NO,NYG,38.18842050433159,-12.188420504331589,65
117,2021_04_NYG_NO,4,2021.0,NYG,NO,38.36783993244171,4.632160067558289,61
118,2021_04_PIT_GB,4,2021.0,GB,PIT,38.06056458875537,1.9394354112446308,70
119,2021_04_PIT_GB,4,2021.0,PIT,GB,40.82414448261261,1.1758555173873901,58
120,2021_04_SEA_SF,4,2021.0,SEA,SF,28.142854161560535,-0.14285416156053543,52
121,2021_04_SEA_SF,4,2021.0,SF,SEA,50.63719496130943,-2.637194961309433,73
122,2021_04_TB_NE,4,2021.0,NE,TB,33.132368475198746,13.867631524801254,53
123,2021_04_TB_NE,4,2021.0,TB,NE,45.66984048485756,-0.6698404848575595,71
124,2021_04_TEN_NYJ,4,2021.0,NYJ,TEN,32.29624496400356,3.703755035996437,59
125,2021_04_TEN_NYJ,4,2021.0,TEN,NYJ,65.33344008028507,-8.333440080285072,94
126,2021_04_WAS_ATL,4,2021.0,ATL,WAS,47.19259703159332,-4.192597031593323,71
127,2021_04_WAS_ATL,4,2021.0,WAS,ATL,40.5061646848917,-2.5061646848917007,63
128,2021_05_BUF_KC,5,2021.0,BUF,KC,26.490596005693078,3.509403994306922,51
129,2021_05_BUF_KC,5,2021.0,KC,BUF,53.123216941952705,9.876783058047295,79
130,2021_05_CHI_LV,5,2021.0,CHI,LV,31.48766453564167,-9.48766453564167,59
131,2021_05_CHI_LV,5,2021.0,LV,CHI,40.141376569867134,-0.141376569867134,61
132,2021_05_CLE_LAC,5,2021.0,CLE,LAC,40.525230810046196,-6.525230810046196,68
133,2021_05_CLE_LAC,5,2021.0,LAC,CLE,45.03913041949272,2.9608695805072784,69
134,2021_05_DEN_PIT,5,2021.0,DEN,PIT,45.285192400217056,-4.285192400217056,59
135,2021_05_DEN_PIT,5,2021.0,PIT,DEN,33.391670390963554,-7.391670390963554,60
136,2021_05_DET_MIN,5,2021.0,DET,MIN,43.62224857509136,-4.622248575091362,64
137,2021_05_DET_MIN,5,2021.0,MIN,DET,37.02821355313063,-1.028213553130627,63
138,2021_05_GB_CIN,5,2021.0,CIN,GB,41.36711633205414,0.6328836679458619,66
139,2021_05_GB_CIN,5,2021.0,GB,CIN,38.440467566251755,1.559532433748245,62
140,2021_05_IND_BAL,5,2021.0,BAL,IND,46.69995850324631,5.300041496753693,73
141,2021_05_IND_BAL,5,2021.0,IND,BAL,36.1077896207571,1.892210379242897,64
142,2021_05_LA_SEA,5,2021.0,LA,SEA,32.58723182231188,5.412768177688122,66
143,2021_05_LA_SEA,5,2021.0,SEA,LA,40.9873326420784,-2.9873326420783997,60
144,2021_05_MIA_TB,5,2021.0,MIA,TB,31.798067331314087,10.201932668685913,51
145,2021_05_MIA_TB,5,2021.0,TB,MIA,35.48190488666296,10.51809511333704,67
146,2021_05_NE_HOU,5,2021.0,HOU,NE,33.8021352738142,-1.8021352738142011,56
147,2021_05_NE_HOU,5,2021.0,NE,HOU,37.7654554694891,-7.765455469489098,60
148,2021_05_NO_WAS,5,2021.0,NO,WAS,28.243802022188902,5.756197977811098,50
149,2021_05_NO_WAS,5,2021.0,WAS,NO,45.42706246674061,2.5729375332593922,77
