,game_id,week,season,posteam,defteam,pass_success,pass_count,expected_success
73,2021_03_CHI_CLE,3,2021.0,CLE,CHI,17.0,35,16.70234399929998
74,2021_03_CIN_PIT,3,2021.0,CIN,PIT,10.0,18,8.408985315767913
75,2021_03_CIN_PIT,3,2021.0,PIT,CIN,24.0,62,29.2111436182183
76,2021_03_GB_SF,3,2021.0,GB,SF,16.0,32,15.503450407417633
77,2021_03_GB_SF,3,2021.0,SF,GB,21.0,44,21.337292812102497
78,2021_03_IND_TEN,3,2021.0,IND,TEN,12.0,39,18.521005163247146
79,2021_03_IND_TEN,3,2021.0,TEN,IND,14.0,28,13.318795332675188
80,2021_03_LAC_KC,3,2021.0,KC,LAC,24.0,46,22.057187879415682
81,2021_03_LAC_KC,3,2021.0,LAC,KC,22.0,39,19.083838183357667
82,2021_03_MIA_LV,3,2021.0,LV,MIA,22.0,46,21.480569609317804
83,2021_03_MIA_LV,3,2021.0,MIA,LV,20.0,50,24.157218473289568
84,2021_03_NO_NE,3,2021.0,NE,NO,20.0,53,25.221642829980613
85,2021_03_NO_NE,3,2021.0,NO,NE,12.0,24,11.472886552724283
86,2021_03_NYJ_DEN,3,2021.0,DEN,NYJ,16.0,27,12.792877299244397
87,2021_03_NYJ_DEN,3,2021.0,NYJ,DEN,14.0,40,19.272407759212236
88,2021_03_PHI_DAL,3,2021.0,DAL,PHI,21.0,30,14.428609632536725
89,2021_03_PHI_DAL,3,2021.0,PHI,DAL,17.0,41,19.110387640427664
90,2021_03_SEA_MIN,3,2021.0,MIN,SEA,26.0,39,18.859605249752107
91,2021_03_SEA_MIN,3,2021.0,SEA,MIN,18.0,34,16.25627977608036
92,2021_03_TB_LA,3,2021.0,LA,TB,19.0,39,18.912205256264414
93,2021_03_TB_LA,3,2021.0,TB,LA,31.0,58,27.666673789831307
94,2021_03_WAS_BUF,3,2021.0,BUF,WAS,25.0,44,21.41308986584257
95,2021_03_WAS_BUF,3,2021.0,WAS,BUF,9.0,25,12.140024625271796
96,2021_04_ARI_LA,4,2021.0,ARI,LA,22.0,35,16.72513865640202
97,2021_04_ARI_LA,4,2021.0,LA,ARI,23.0,41,19.708697195758887
98,2021_04_BAL_DEN,4,2021.0,BAL,DEN,21.0,40,18.922744752492836
99,2021_04_BAL_DEN,4,2021.0,DEN,BAL,13.0,42,19.84634818510848
100,2021_04_CAR_DAL,4,2021.0,CAR,DAL,20.0,44,21.260512168282883
101,2021_04_CAR_DAL,4,2021.0,DAL,CAR,13.0,22,10.736986006466134
102,2021_04_CLE_MIN,4,2021.0,CLE,MIN,13.0,36,17.256149443593223
103,2021_04_CLE_MIN,4,2021.0,MIN,CLE,12.0,40,18.984391758975136
104,2021_04_DET_CHI,4,2021.0,CHI,DET,8.0,18,8.559184861188774
105,2021_04_DET_CHI,4,2021.0,DET,CHI,23.0,42,20.044375940007587
106,2021_04_HOU_BUF,4,2021.0,BUF,HOU,20.0,32,15.621437366715922
107,2021_04_HOU_BUF,4,2021.0,HOU,BUF,6.0,24,10.976411464681771
108,2021_04_IND_MIA,4,2021.0,IND,MIA,14.0,34,16.060697040735537
109,2021_04_IND_MIA,4,2021.0,MIA,IND,14.0,33,16.116325984834216
110,2021_04_JAX_CIN,4,2021.0,CIN,JAX,19.0,33,15.582235229507768
111,2021_04_JAX_CIN,4,2021.0,JAX,CIN,15.0,25,12.281316696895576
112,2021_04_KC_PHI,4,2021.0,KC,PHI,22.0,31,15.132704655772823
113,2021_04_KC_PHI,4,2021.0,PHI,KC,26.0,51,24.34133863509098
114,2021_04_LV_LAC,4,2021.0,LAC,LV,16.0,41,19.677167840186566
115,2021_04_LV_LAC,4,2021.0,LV,LAC,14.0,38,18.154929965509982
